,0,1
0,Instant Food,0.0006741452222864838
1,Instant,0.0010839578740673018
2,Instant Food online,0.0012799275250301458
3,Food,0.001592225223269166
4,Instant Food products,0.0016368600699683434
5,online,0.0018997074505863745
6,Instant food mixes,0.0019409110485503398
7,food products online,0.0020188508924067474
8,Instant Noodles,0.0021181616630681593
9,Instant Mix Food,0.002184613043784516
10,Buy Instant Food,0.002321872606528267
11,instant Online Food,0.0025598550500602916
12,instant mixes online,0.0031919920773925766
13,Instant mix products,0.0034560419848106115
14,instant mixes,0.003919310258978579
15,food online,0.003985505412183136
16,Food Products,0.004146486200379027
17,Mix Food Products,0.004331484900318999
18,Instant food delivery,0.004657827449133665
19,Buy Instant,0.005116622298535095
